# checked-artifact-semantic-v1
# provenance=independent-hand-authored-semantic-recipes;generator=none;regen-owned=false
# name|record-kind|coverage|canonical-cbor-hex
managed-merge_store-complete|bootstrap_intent|purpose=merge_store;phase=complete|b40158205151515151515151515151515151515151515151515151515151515151515151025820616161616161616161616161616161616161616161616161616161616161616103582081818181818181818181818181818181818181818181818181818181818181810458207171717171717171717171717171717171717171717171717171717171717171055820919191919191919191919191919191919191919191919191919191919191919106000702080009000aa80100025032323232323232323232323232323232030104581833333333333333333333333333333333333333333333333305f606f607f608f60b000ca10181a601456d65726765020003456d6572676504a80100025032323232323232323232323232323232030104581833333333333333333333333333333333333333333333333305f606f607f608f605483c3c3c3c3c3c3c3c06483d3d3d3d3d3d3d3d0d81ab01456d6572676502585c67777a2d626f6f7473747261702d353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135313531353135312d30302d73746167696e672d763103456d65726765045667777a2d626f6f7473747261702d6f776e65722d76310500065820e4749d118c2305855a7b41c18898ea1cef58ab8bd1a5a3cc0ac934814f35c363075820c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c1c108a80100025032323232323232323232323232323232030104581833333333333333333333333333333333333333333333333305f606f607f608f609000aa10181a601456d65726765020003456d6572676504a80100025032323232323232323232323232323232030104581833333333333333333333333333333333333333333333333305f606f607f608f605483c3c3c3c3c3c3c3c06483d3d3d3d3d3d3d3d0ba80100025046464646464646464646464646464646030104581847474747474747474747474747474747474747474747474705f606f607f608f60e5820b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b1b10f5820d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1d1100211011258202449c85f0fcafb0429e391e007d6bcccc4ca6e5981c90a8fac85bd83bc7316341300145820a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1a1
managed-merge_archive-install_components|bootstrap_intent|purpose=merge_archive;phase=install_components|b40158205252525252525252525252525252525252525252525252525252525252525252025820626262626262626262626262626262626262626262626262626262626262626203582082828282828282828282828282828282828282828282828282828282828282820458207272727272727272727272727272727272727272727272727272727272727272055820929292929292929292929292929292929292929292929292929292929292929206000700080009000aa80100025051515151515151515151515151515151030104581852525252525252525252525252525252525252525252525205f606f607f608f60b000ca10181a60146706172656e7402000346706172656e7404a80100025051515151515151515151515151515151030104581852525252525252525252525252525252525252525252525205f606f607f608f605485b5b5b5b5b5b5b5b06485c5c5c5c5c5c5c5c0d81ab0144646f6e6502585c67777a2d626f6f7473747261702d353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235322d30302d73746167696e672d76310344646f6e65045667777a2d626f6f7473747261702d6f776e65722d7631050006f607f608f609f60af60bf60e5820b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b20ff610001100125820e1b879b82009857fa3c46e90977e829cad1c28adec32338c844f432b39a5b0f81301145820a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
managed-merge_archive-retire_markers|bootstrap_intent|purpose=merge_archive;phase=retire_markers|b40158205252525252525252525252525252525252525252525252525252525252525252025820626262626262626262626262626262626262626262626262626262626262626203582082828282828282828282828282828282828282828282828282828282828282820458207272727272727272727272727272727272727272727272727272727272727272055820929292929292929292929292929292929292929292929292929292929292929206000701080009000aa80100025033333333333333333333333333333333030104581834343434343434343434343434343434343434343434343405f606f607f608f60b010ca10181a60144646f6e6502010344646f6e6504a80100025033333333333333333333333333333333030104581834343434343434343434343434343434343434343434343405f606f607f608f605483d3d3d3d3d3d3d3d06483e3e3e3e3e3e3e3e0d81ab0144646f6e6502585c67777a2d626f6f7473747261702d353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235322d30302d73746167696e672d76310344646f6e65045667777a2d626f6f7473747261702d6f776e65722d763105000658202d7d286bae4533992aa3c36bf23bea459bf023524820dfbe2929a77b5f6f6ba6075820c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c208a80100025033333333333333333333333333333333030104581834343434343434343434343434343434343434343434343405f606f607f608f609010aa10181a60144646f6e6502010344646f6e6504a80100025033333333333333333333333333333333030104581834343434343434343434343434343434343434343434343405f606f607f608f605483d3d3d3d3d3d3d3d06483e3e3e3e3e3e3e3e0ba80100025047474747474747474747474747474747030104581848484848484848484848484848484848484848484848484805f606f607f608f60e5820b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b20f5820d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d210011100125820f92ae9e41830c8aba80ac6992ac108c61db6f224422718d2e3ee7abf62224df61301145820a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
managed-merge_archive-complete|bootstrap_intent|purpose=merge_archive;phase=complete|b40158205252525252525252525252525252525252525252525252525252525252525252025820626262626262626262626262626262626262626262626262626262626262626203582082828282828282828282828282828282828282828282828282828282828282820458207272727272727272727272727272727272727272727272727272727272727272055820929292929292929292929292929292929292929292929292929292929292929206000702080009000aa80100025033333333333333333333333333333333030104581834343434343434343434343434343434343434343434343405f606f607f608f60b010ca10181a60144646f6e6502010344646f6e6504a80100025033333333333333333333333333333333030104581834343434343434343434343434343434343434343434343405f606f607f608f605483d3d3d3d3d3d3d3d06483e3e3e3e3e3e3e3e0d81ab0144646f6e6502585c67777a2d626f6f7473747261702d353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235323532353235322d30302d73746167696e672d76310344646f6e65045667777a2d626f6f7473747261702d6f776e65722d763105000658202d7d286bae4533992aa3c36bf23bea459bf023524820dfbe2929a77b5f6f6ba6075820c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c2c208a80100025033333333333333333333333333333333030104581834343434343434343434343434343434343434343434343405f606f607f608f609010aa10181a60144646f6e6502010344646f6e6504a80100025033333333333333333333333333333333030104581834343434343434343434343434343434343434343434343405f606f607f608f605483d3d3d3d3d3d3d3d06483e3e3e3e3e3e3e3e0ba80100025047474747474747474747474747474747030104581848484848484848484848484848484848484848484848484805f606f607f608f60e5820b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b2b20f5820d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d2d21002110112582044959f3c398589ccce646440910522ad1c11e7f07f306b840b3af8075d4f39b31301145820a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2a2
managed-preservation_bundles-install_components|bootstrap_intent|purpose=preservation_bundles;phase=install_components|b40158205353535353535353535353535353535353535353535353535353535353535353025820636363636363636363636363636363636363636363636363636363636363636303582083838383838383838383838383838383838383838383838383838383838383830458207373737373737373737373737373737373737373737373737373737373737373055820939393939393939393939393939393939393939393939393939393939393939306000700080009000aa80100025052525252525252525252525252525252030104581853535353535353535353535353535353535353535353535305f606f607f608f60b000ca10181a60146706172656e7402000346706172656e7404a80100025052525252525252525252525252525252030104581853535353535353535353535353535353535353535353535305f606f607f608f605485c5c5c5c5c5c5c5c06485d5d5d5d5d5d5d5d0d81ab014762756e646c657302585c67777a2d626f6f7473747261702d353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335332d30302d73746167696e672d7631034762756e646c6573045667777a2d626f6f7473747261702d6f776e65722d7631050006f607f608f609f60af60bf60e5820b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b30ff610001100125820b7f000d1f41909b14833c507e74d2bd9e4382389258a176cc7e792952393bf571302145820a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3
managed-preservation_bundles-retire_markers|bootstrap_intent|purpose=preservation_bundles;phase=retire_markers|b40158205353535353535353535353535353535353535353535353535353535353535353025820636363636363636363636363636363636363636363636363636363636363636303582083838383838383838383838383838383838383838383838383838383838383830458207373737373737373737373737373737373737373737373737373737373737373055820939393939393939393939393939393939393939393939393939393939393939306000701080009000aa80100025034343434343434343434343434343434030104581835353535353535353535353535353535353535353535353505f606f607f608f60b000ca10181a6014762756e646c65730200034762756e646c657304a80100025034343434343434343434343434343434030104581835353535353535353535353535353535353535353535353505f606f607f608f605483e3e3e3e3e3e3e3e06483f3f3f3f3f3f3f3f0d81ab014762756e646c657302585c67777a2d626f6f7473747261702d353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335332d30302d73746167696e672d7631034762756e646c6573045667777a2d626f6f7473747261702d6f776e65722d763105000658201d9f5a35aa6016fd7639250937404970f4868e021e26962ce1ae481ef5865e19075820c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c308a80100025034343434343434343434343434343434030104581835353535353535353535353535353535353535353535353505f606f607f608f609000aa10181a6014762756e646c65730200034762756e646c657304a80100025034343434343434343434343434343434030104581835353535353535353535353535353535353535353535353505f606f607f608f605483e3e3e3e3e3e3e3e06483f3f3f3f3f3f3f3f0ba80100025048484848484848484848484848484848030104581849494949494949494949494949494949494949494949494905f606f607f608f60e5820b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b30f5820d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d310011100125820de2f753d45b4799c33eb0e9f71885ac6661298f014689ea5fde11690e7e929961302145820a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3
managed-preservation_bundles-complete|bootstrap_intent|purpose=preservation_bundles;phase=complete|b40158205353535353535353535353535353535353535353535353535353535353535353025820636363636363636363636363636363636363636363636363636363636363636303582083838383838383838383838383838383838383838383838383838383838383830458207373737373737373737373737373737373737373737373737373737373737373055820939393939393939393939393939393939393939393939393939393939393939306000702080009000aa80100025034343434343434343434343434343434030104581835353535353535353535353535353535353535353535353505f606f607f608f60b000ca10181a6014762756e646c65730200034762756e646c657304a80100025034343434343434343434343434343434030104581835353535353535353535353535353535353535353535353505f606f607f608f605483e3e3e3e3e3e3e3e06483f3f3f3f3f3f3f3f0d81ab014762756e646c657302585c67777a2d626f6f7473747261702d353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335333533353335332d30302d73746167696e672d7631034762756e646c6573045667777a2d626f6f7473747261702d6f776e65722d763105000658201d9f5a35aa6016fd7639250937404970f4868e021e26962ce1ae481ef5865e19075820c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c3c308a80100025034343434343434343434343434343434030104581835353535353535353535353535353535353535353535353505f606f607f608f609000aa10181a6014762756e646c65730200034762756e646c657304a80100025034343434343434343434343434343434030104581835353535353535353535353535353535353535353535353505f606f607f608f605483e3e3e3e3e3e3e3e06483f3f3f3f3f3f3f3f0ba80100025048484848484848484848484848484848030104581849494949494949494949494949494949494949494949494905f606f607f608f60e5820b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b3b30f5820d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d3d31002110112582094d7e4d8924f97f9c3bcf10565107871f165d44da5018355ceeba9f5434300541302145820a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3a3
managed-root_preservation_markers-install_components|bootstrap_intent|purpose=root_preservation_markers;phase=install_components|b40158205454545454545454545454545454545454545454545454545454545454545454025820646464646464646464646464646464646464646464646464646464646464646403582084848484848484848484848484848484848484848484848484848484848484840458207474747474747474747474747474747474747474747474747474747474747474055820949494949494949494949494949494949494949494949494949494949494949406000700080009000aa80100025053535353535353535353535353535353030104581854545454545454545454545454545454545454545454545405f606f607f608f60b000ca10181a60146706172656e7402000346706172656e7404a80100025053535353535353535353535353535353030104581854545454545454545454545454545454545454545454545405f606f607f608f605485d5d5d5d5d5d5d5d06485e5e5e5e5e5e5e5e0d81ab01476d61726b65727302585c67777a2d626f6f7473747261702d353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435342d30302d73746167696e672d763103476d61726b657273045667777a2d626f6f7473747261702d6f776e65722d7631050006f607f608f609f60af60bf60e5820b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b40ff6100011001258208bb716f870d4abc2eb67fe7d34d6f7b4c0807f123182486f7b055b644d15a7511303145820a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4
managed-root_preservation_markers-retire_markers|bootstrap_intent|purpose=root_preservation_markers;phase=retire_markers|b40158205454545454545454545454545454545454545454545454545454545454545454025820646464646464646464646464646464646464646464646464646464646464646403582084848484848484848484848484848484848484848484848484848484848484840458207474747474747474747474747474747474747474747474747474747474747474055820949494949494949494949494949494949494949494949494949494949494949406000701080009000aa80100025035353535353535353535353535353535030104581836363636363636363636363636363636363636363636363605f606f607f608f60b010ca10181a601476d61726b657273020103476d61726b65727304a80100025035353535353535353535353535353535030104581836363636363636363636363636363636363636363636363605f606f607f608f605483f3f3f3f3f3f3f3f064840404040404040400d81ab01476d61726b65727302585c67777a2d626f6f7473747261702d353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435342d30302d73746167696e672d763103476d61726b657273045667777a2d626f6f7473747261702d6f776e65722d76310500065820e14318fcf19c6750f59a78f80f87be8fb9d2518e6d825bc8248683317e411379075820c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c408a80100025035353535353535353535353535353535030104581836363636363636363636363636363636363636363636363605f606f607f608f609010aa10181a601476d61726b657273020103476d61726b65727304a80100025035353535353535353535353535353535030104581836363636363636363636363636363636363636363636363605f606f607f608f605483f3f3f3f3f3f3f3f064840404040404040400ba8010002504949494949494949494949494949494903010458184a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a05f606f607f608f60e5820b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b40f5820d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d410011100125820f697342ad409934a4230091c941235a9cbb1fb58cd01d93f4f1d89e11b2f39521303145820a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4
managed-root_preservation_markers-complete|bootstrap_intent|purpose=root_preservation_markers;phase=complete|b40158205454545454545454545454545454545454545454545454545454545454545454025820646464646464646464646464646464646464646464646464646464646464646403582084848484848484848484848484848484848484848484848484848484848484840458207474747474747474747474747474747474747474747474747474747474747474055820949494949494949494949494949494949494949494949494949494949494949406000702080009000aa80100025035353535353535353535353535353535030104581836363636363636363636363636363636363636363636363605f606f607f608f60b010ca10181a601476d61726b657273020103476d61726b65727304a80100025035353535353535353535353535353535030104581836363636363636363636363636363636363636363636363605f606f607f608f605483f3f3f3f3f3f3f3f064840404040404040400d81ab01476d61726b65727302585c67777a2d626f6f7473747261702d353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435343534353435342d30302d73746167696e672d763103476d61726b657273045667777a2d626f6f7473747261702d6f776e65722d76310500065820e14318fcf19c6750f59a78f80f87be8fb9d2518e6d825bc8248683317e411379075820c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c4c408a80100025035353535353535353535353535353535030104581836363636363636363636363636363636363636363636363605f606f607f608f609010aa10181a601476d61726b657273020103476d61726b65727304a80100025035353535353535353535353535353535030104581836363636363636363636363636363636363636363636363605f606f607f608f605483f3f3f3f3f3f3f3f064840404040404040400ba8010002504949494949494949494949494949494903010458184a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a05f606f607f608f60e5820b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b4b40f5820d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d4d41002110112582010ac3f7292fe58ca7ba55f3011d3df710ee22048209783613594b7a5e7916b151303145820a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4a4
